지역,행복역량지수
서울특별시 종로구,0.8074
서울특별시 중구,0.6939
서울특별시 용산구,0.531
서울특별시 성동구,0.4751
서울특별시 광진구,0.5317
서울특별시 동대문구,0.4921
서울특별시 중랑구,0.4057
서울특별시 성북구,0.3999
서울특별시 강북구,0.3535
서울특별시 도봉구,0.4297
서울특별시 노원구,0.4307
서울특별시 은평구,0.3513
서울특별시 서대문구,0.5715
서울특별시 마포구,0.5362
서울특별시 양천구,0.5178
서울특별시 강서구,0.3693
서울특별시 구로구,0.5316
서울특별시 금천구,0.4713
서울특별시 영등포구,0.6246
서울특별시 동작구,0.3712
서울특별시 관악구,0.4034
서울특별시 서초구,0.6024
서울특별시 강남구,0.6281
서울특별시 송파구,0.5453
서울특별시 강동구,0.5229
부산광역시 중구,0.6036
부산광역시 서구,0.5329
부산광역시 동구,0.5317
부산광역시 영도구,0.3518
부산광역시 부산진구,0.447
부산광역시 동래구,0.5237
부산광역시 남구,0.4276
부산광역시 북구,0.3637
부산광역시 해운대구,0.3915
부산광역시 사하구,0.3179
부산광역시 금정구,0.4617
부산광역시 강서구,0.3303
부산광역시 연제구,0.4199
부산광역시 수영구,0.4172
부산광역시 사상구,0.4032
부산광역시 기장군,0.4738
대구광역시 중구,0.7384
대구광역시 동구,0.3053
대구광역시 서구,0.2329
대구광역시 남구,0.5006
대구광역시 북구,0.3691
대구광역시 수성구,0.4426
대구광역시 달서구,0.3858
대구광역시 달성군,0.4399
인천광역시 중구,0.5146
인천광역시 동구,0.5439
인천광역시 연수구,0.4042
인천광역시 남동구,0.3699
인천광역시 부평구,0.3356
인천광역시 계양구,0.4205
인천광역시 서구,0.3615
인천광역시 미추홀구,0.3136
인천광역시 강화군,0.3915
인천광역시 옹진군,0.4052
광주광역시 동구,0.6208
광주광역시 서구,0.5468
광주광역시 남구,0.5372
광주광역시 북구,0.4835
광주광역시 광산구,0.4431
대전광역시 동구,0.4377
대전광역시 중구,0.5682
대전광역시 서구,0.5625
대전광역시 유성구,0.6076
대전광역시 대덕구,0.4655
울산광역시 중구,0.4424
울산광역시 남구,0.5461
울산광역시 동구,0.5202
울산광역시 북구,0.4811
울산광역시 울주군,0.5998
세종특별자치시 세종시,0.3914
경기도 수원시,0.4786
경기도 성남시,0.5348
경기도 의정부시,0.5007
경기도 안양시,0.5168
경기도 부천시,0.4829
경기도 광명시,0.4777
경기도 평택시,0.3239
경기도 동두천시,0.4757
경기도 안산시,0.402
경기도 고양시,0.443
경기도 과천시,0.6183
경기도 구리시,0.5199
경기도 남양주시,0.3663
경기도 오산시,0.4136
경기도 시흥시,0.4134
경기도 군포시,0.5147
경기도 의왕시,0.4905
경기도 하남시,0.3575
경기도 용인시,0.459
경기도 파주시,0.4072
경기도 이천시,0.4087
경기도 안성시,0.3666
경기도 김포시,0.4002
경기도 화성시,0.4747
경기도 광주시,0.4006
경기도 양주시,0.3748
경기도 포천시,0.3931
경기도 여주시,0.4128
경기도 연천군,0.3737
경기도 가평군,0.5087
경기도 양평군,0.3617
강원도 춘천시,0.5131
강원도 원주시,0.444
강원도 강릉시,0.4593
강원도 동해시,0.4583
강원도 태백시,0.4203
강원도 속초시,0.4749
강원도 삼척시,0.4945
강원도 홍천군,0.4373
강원도 횡성군,0.4612
강원도 영월군,0.5245
강원도 평창군,0.3656
강원도 정선군,0.495
강원도 철원군,0.3997
강원도 화천군,0.4934
강원도 양구군,0.47
강원도 인제군,0.481
강원도 고성군,0.3936
강원도 양양군,0.4291
충청북도 충주시,0.4108
충청북도 제천시,0.4359
충청북도 청주시,0.473
충청북도 보은군,0.4807
충청북도 옥천군,0.6326
충청북도 영동군,0.5235
충청북도 진천군,0.4398
충청북도 괴산군,0.475
충청북도 음성군,0.5294
충청북도 단양군,0.4979
충청북도 증평군,0.4095
충청남도 천안시,0.5371
충청남도 공주시,0.5381
충청남도 보령시,0.2972
충청남도 아산시,0.4496
충청남도 서산시,0.3553
충청남도 논산시,0.4954
충청남도 계룡시,0.5473
충청남도 당진시,0.2609
충청남도 금산군,0.5935
충청남도 부여군,0.4789
충청남도 서천군,0.4688
충청남도 청양군,0.4801
충청남도 홍성군,0.4723
충청남도 예산군,0.435
충청남도 태안군,0.3762
전라북도 전주시,0.4846
전라북도 군산시,0.3425
전라북도 익산시,0.4427
전라북도 정읍시,0.4237
전라북도 남원시,0.4861
전라북도 김제시,0.3182
전라북도 완주군,0.4625
전라북도 진안군,0.4866
전라북도 무주군,0.4523
전라북도 장수군,0.3977
전라북도 임실군,0.4464
전라북도 순창군,0.4102
전라북도 고창군,0.4453
전라북도 부안군,0.399
전라남도 목포시,0.5435
전라남도 여수시,0.4096
전라남도 순천시,0.506
전라남도 나주시,0.4338
전라남도 광양시,0.3929
전라남도 담양군,0.4838
전라남도 곡성군,0.4942
전라남도 구례군,0.5721
전라남도 고흥군,0.429
전라남도 보성군,0.4684
전라남도 화순군,0.575
전라남도 장흥군,0.3458
전라남도 강진군,0.4694
전라남도 해남군,0.4012
전라남도 영암군,0.3883
전라남도 무안군,0.5074
전라남도 함평군,0.5529
전라남도 영광군,0.4561
전라남도 장성군,0.4773
전라남도 완도군,0.3855
전라남도 진도군,0.3641
전라남도 신안군,0.3048
경상북도 포항시,0.404
경상북도 경주시,0.4033
경상북도 김천시,0.3422
경상북도 안동시,0.4608
경상북도 구미시,0.344
경상북도 영주시,0.4043
경상북도 영천시,0.3331
경상북도 상주시,0.4034
경상북도 문경시,0.3713
경상북도 경산시,0.4477
경상북도 군위군,0.277
경상북도 의성군,0.3102
경상북도 청송군,0.3882
경상북도 영양군,0.3274
