지역,평균_가격,각종요금_전철료(성인 카드),각종요금_전철료(성인 현금),각종요금_시내버스료(성인 카드),각종요금_시내버스료(성인 현금),각종요금_택시료(중형),각종요금_도매요금,각종요금_소매요금,보통휘발유,자동차용경유,인당소비_민간소비지출액(천원),인당소득_1인당 개인소득,물가_가공식품,물가_생활용품,물가_신선식품,물가,실질생활비(추정),실질소득(소비기준),실질소득(물가)
강원도 강릉시,8753.455285,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 고성군,13396.56863,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 동해시,12623.42342,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 삼척시,10529.41176,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 속초시,17058.33333,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 양구군,12621.56863,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 양양군,18000.0,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 영월군,9402.777778,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 원주시,9906.127451,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 인제군,17823.52941,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 정선군,25166.66667,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 철원군,9395.555556,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 춘천시,12942.85714,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 태백시,27809.52381,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 평창군,8255.555556,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 홍천군,11715.68627,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 화천군,9566.666667,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
강원도 횡성군,17465.15152,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456,21277,23326,5424.3,10513.7,5273.8,7070.6,30092.21282493706,10963.011702777647,32990.12813622606
경기도 가평군,8907.142857,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 고양시,16092.02899,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 과천시,9160.714286,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 광명시,13254.16667,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 광주시,7926.388889,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 구리시,10130.55556,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 군포시,10990.47619,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 김포시,14666.66667,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 남양주시,12691.66667,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 동두천시,10444.44444,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 부천시,8233.333333,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 성남시,12207.57576,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 수원시,11220.92199,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 시흥시,49158.33333,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 안산시,11638.88889,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 안성시,11407.38889,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 안양시,14137.14286,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 양주시,24609.64912,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 양평군,10092.52874,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 여주시,7000.0,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 연천군,14846.15385,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 오산시,12218.75,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 용인시,8305.555556,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 의왕시,9466.666667,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 의정부시,7530.272109,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 이천시,9522.222222,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 파주시,12511.11111,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 평택시,7150.0,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 포천시,7964.285714,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 하남시,9875.376812,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경기도 화성시,9761.111111,0,0,1450,1500,4800,10031,831,1601.12,1523.37,22878,25696,5376.2,10762.6,5189.1,7109.3,32180.383441407732,11231.75102718769,36144.20547733251
경상남도 거제시,11359.84848,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 거창군,5865.0,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 김해시,8917.583333,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 남해군,13388.88889,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 밀양시,8306.060606,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 사천시,7807.692308,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 산청군,15333.33333,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 양산시,13600.0,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 의령군,7022.727273,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 진주시,10403.57143,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 창녕군,11296.2963,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 창원시,11726.31579,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 통영시,7197.916667,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 하동군,16261.90476,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 함안군,7136.363636,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 함양군,6635.416667,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상남도 합천군,9857.142857,0,0,1219,1286,4706,10031,1631,1580.7,1494.61,21756,22769,5412.0,10619.9,5287.0,7106.3,30615.08802048886,10465.618679904394,32040.583707414546
경상북도 경산시,7116.666667,0,0,1297,1382,4000,10031,1416,1567.2,1477.86,21078,22921,5405.0,10525.6,5259.1,7063.233333,29841.85713010764,10874.371382484107,32451.14371758218
