지역,실질생활비(추정),실질소득(물가)
강원도,30092.212824937058,32990.12813622606
경기도,32180.38344140773,36144.20547733251
경상남도,30615.08802048886,32040.583707414546
경상북도,29841.85713010764,32451.14371758218
광주광역시,31648.327555257136,34775.34017567179
대구광역시,31302.358867855688,33341.28509885915
대전광역시,32606.267627470246,36987.27673965187
부산광역시,32216.210170155053,33591.991387385875
서울특별시,39707.98535636655,42003.203294817526
울산광역시,32590.03150498099,39230.88735716324
인천광역시,30746.337861446955,35010.31454469272
전라남도,28873.299440483966,34939.93013150047
전라북도,29033.497999800693,34390.61543498996
충청남도,29617.42916925861,33431.82717864616
충청북도,29887.702283914063,35108.33621778696
