지역,각종요금_전철료(성인 카드),각종요금_전철료(성인 현금),각종요금_시내버스료(성인 카드),각종요금_시내버스료(성인 현금),각종요금_택시료(중형),각종요금_도매요금,각종요금_소매요금,시군구_이동자수_기준병합_계_총전입,시군구_이동자수_기준병합_계_총전출,시군구_이동자수_기준병합_계_순이동,시군구_이동자수_기준병합_계_시도간전입,시군구_이동자수_기준병합_계_시도간전출,시군구_이동자수_기준병합_직업_총전입,시군구_이동자수_기준병합_직업_총전출,시군구_이동자수_기준병합_직업_순이동,시군구_이동자수_기준병합_직업_시도간전입,시군구_이동자수_기준병합_직업_시도간전출,시군구_이동자수_기준병합_가족_총전입,시군구_이동자수_기준병합_가족_총전출,시군구_이동자수_기준병합_가족_순이동,시군구_이동자수_기준병합_가족_시도간전입,시군구_이동자수_기준병합_가족_시도간전출,시군구_이동자수_기준병합_주택_총전입,시군구_이동자수_기준병합_주택_총전출,시군구_이동자수_기준병합_주택_순이동,시군구_이동자수_기준병합_주택_시도간전입,시군구_이동자수_기준병합_주택_시도간전출,시군구_이동자수_기준병합_교육_총전입,시군구_이동자수_기준병합_교육_총전출,시군구_이동자수_기준병합_교육_순이동,시군구_이동자수_기준병합_교육_시도간전입,시군구_이동자수_기준병합_교육_시도간전출,시군구_이동자수_기준병합_주거환경_총전입,시군구_이동자수_기준병합_주거환경_총전출,시군구_이동자수_기준병합_주거환경_순이동,시군구_이동자수_기준병합_주거환경_시도간전입,시군구_이동자수_기준병합_주거환경_시도간전출,시군구_이동자수_기준병합_자연환경_총전입,시군구_이동자수_기준병합_자연환경_총전출,시군구_이동자수_기준병합_자연환경_순이동,시군구_이동자수_기준병합_자연환경_시도간전입,시군구_이동자수_기준병합_자연환경_시도간전출,시군구_이동자수_기준병합_기타_총전입,시군구_이동자수_기준병합_기타_총전출,시군구_이동자수_기준병합_기타_순이동,시군구_이동자수_기준병합_기타_시도간전입,시군구_이동자수_기준병합_기타_시도간전출,인당소비_민간소비지출액(천원),인당소득_1인당 지역내총생산,인당소득_1인당 지역총소득,인당소득_1인당 개인소득,인당소득_1인당 민간소비,대중교통_이용_환승_1주간대중교통이용횟수(회),대중교통_이용_환승_한달평균대중교통비용(원),대중교통_이용_환승_주이용교통수단_버스(%),대중교통_이용_환승_주이용교통수단_도시철도(%),대중교통_이용_환승_교통카드이용률(%),대중교통_이용_환승_정보제공서비스이용률(%),대중교통_이용_환승_접근소요시간(분),대중교통_이용_환승_환승서비스이용률(%),대중교통_이용_환승_환승횟수(회),대중교통_이용_환승_환승이동시간(분),대중교통_이용_환승_환승대기시간(분),보통휘발유,자동차용경유,삶 만족도_전체_계_매우 만족,인구수,삶 만족도_전체_계_매우 만족_인구보정,2023_전체_계_약간 만족_인구보정,삶 만족도_전체_계_보통_인구보정,삶 만족도_전체_계_약간 불만족_인구보정,삶 만족도_전체_계_매우 불만족_인구보정,삶 만족도_성별_남자_매우 만족_인구보정,삶 만족도_성별_남자_약간 만족_인구보정,삶 만족도_성별_남자_보통_인구보정,삶 만족도_성별_남자_약간 불만족_인구보정,삶 만족도_성별_남자_매우 불만족_인구보정,삶 만족도_성별_여자_매우 만족_인구보정,삶 만족도_성별_여자_약간 만족_인구보정,삶 만족도_성별_여자_보통_인구보정,삶 만족도_성별_여자_약간 불만족_인구보정,삶 만족도_성별_여자_매우 불만족_인구보정
강원도,0,0,1469,1661,3800,10031,1878,173366,174763,-1397,68757,70154,48848,51467,-2619,27426,30045,41867,42276,-409,17756,18165,50605,49319,1286,9556,8270,11712,11874,-162,6178,6340,7834,8132,-298,1844,2142,5046,2478,2568,3282,714,7454,9217,-1763,2715,4478,21277,40713,37509,23326,21277,9.25,"51,033",98.3,1.7,90.2,96.2,17.26,12.7,1.46,7.65,9.31,1588.217353,1503.163456,14.1,1528014,21544997.4,50424462,61578964.2,16349749.8,2750425.2,23989819.8,50730064.8,59745347.4,15891345.6,2444822.4,19100175,50271660.6,63412581,16960955.4,3056028
경기도,0,0,1450,1500,4800,10031,831,1681183,1636571,44612,542110,497498,358552,353218,5334,169709,164375,404959,385585,19374,148997,129623,623309,595824,27485,127756,100271,71786,83701,-11915,29102,41017,82974,82136,838,21408,20570,15750,16869,-1119,6685,7804,123853,119238,4615,38453,33838,22878,43070,47899,25696,22878,9.67,"51,317",62,38,99.1,96.3,16.2,90.4,1.5,6.6,8.36,1601.12,1523.37,11.8,13815367,163021330.6,407553326.5,595442317.7,169929014.1,45590711.1,168547477.4,403408716.4,595442317.7,161639793.9,51116857.9,158876720.5,410316399.9,595442317.7,178218234.3,38683027.6
경상남도,0,0,1219,1286,4706,10031,1631,300309,316609,-16300,103910,120210,74572,89879,-15307,35924,51231,80594,73225,7369,33138,25769,89331,88360,971,16374,15403,16983,27156,-10173,5962,16135,13025,14163,-1138,2805,3943,6483,4420,2063,3185,1122,19321,19406,-85,6522,6607,21756,42144,38879,22769,21756,9.35,"50,634",94.5,5.5,92.5,95.9,17.13,14.1,1.48,7.3,8.47,1580.7,1494.61,10.7,3271148,35001283.6,110237687.6,142622052.8,31730135.6,7850755.2,36963972.4,113835950.4,137388216,31075906,8177870,33365709.6,106312310,147528774.8,32711480,7523640.4
경상북도,0,0,1297,1382,4000,10031,1416,254287,262492,-8205,107068,115273,69363,73998,-4635,39033,43668,63223,64188,-965,28859,29824,63990,67918,-3928,13132,17060,18948,20902,-1954,10275,12229,10785,12266,-1481,2714,4195,6746,3713,3033,4099,1066,21232,19507,1725,8956,7231,21078,48812,41091,22921,21078,9.38,"51,246",97.5,2.5,88.5,95.1,17.26,14.8,1.48,7.56,8.96,1567.2,1477.86,10.2,2589880,26416776,72257652,121983348,31078560,6992676,27711716,78991340,114731684,31337548,6215712,25380824,65523964,129494000,31078560,7769640
광주,1250,1400,1250,1400,4300,10031,575,162916,171933,-9017,53486,62503,32478,40977,-8499,16855,25354,45349,44095,1254,17332,16078,51595,51718,-123,7499,7622,10611,11428,-817,5346,6163,9165,8716,449,2060,1611,1141,2335,-1194,395,1589,12577,12664,-87,3999,4086,23096,35452,38019,25378,23096,9.65,"50,508",81.9,18.1,98.9,96.8,16.45,79.1,1.46,6.14,6.32,1561.22,1474.73,11.4,1457090,16610826,46044044,64403378,14862318,3642725,17047953,44004118,66589013,13988064,3934143,16319408,48083970,62363452,15736572,3205598
대구,1250,1400,1250,1400,4000,10031,1293,296291,301579,-5288,83536,88824,52847,64440,-11593,26764,38357,69766,65286,4480,25259,20779,118899,114629,4270,14459,10189,15114,16409,-1295,7520,8815,17054,16023,1031,3343,2312,2137,3847,-1710,540,2250,20474,20945,-471,5651,6122,22307,30985,34344,23760,22307,9.96,"49,998",55.9,44.1,99.6,95.4,15.74,84.8,1.5,6.24,6.58,1562.18,1476.68,11.2,2379188,26646905.6,62810563.2,107539297.6,33784469.6,7375482.8,27360662,61145131.6,107539297.6,33308632,8565076.8,25695230.4,64238076,107539297.6,34260307.2,5947970
대전,1250,1400,1250,1400,4300,10031,719,186084,188558,-2474,73374,75848,46776,47259,-483,29588,30071,43247,45138,-1891,18051,19942,57918,60955,-3037,8494,11531,15015,11430,3585,10284,6699,9761,9510,251,2395,2144,1170,1987,-817,396,1213,12197,12279,-82,4166,4248,23355,36645,40976,26493,23355,9.57,"50,940",76.9,23.1,99.6,96.5,16.27,81.8,1.48,6.16,6.36,1531.7,1447.63,14.6,1470336,21466905.6,50579558.4,57637171.2,13968192,3381772.8,21908006.4,50138457.6,55284633.6,15291494.4,4411008,21025804.8,51020659.2,59842675.2,12644889.6,2352537.6
부산,1450,1550,1550,1700,4800,10031,1198,364271,375703,-11432,102217,113649,77871,87810,-9939,36763,46702,89419,91843,-2424,27557,29981,127047,129002,-1955,14197,16152,23151,19365,3786,13040,9254,21387,20406,981,3865,2884,2752,4027,-1275,899,2174,22644,23250,-606,5896,6502,23042,34762,35373,24026,23042,9.72,"50,079",55.1,44.9,99.7,95.5,15.83,86.4,1.51,6.14,6.85,1553.17,1483.67,10.2,3279604,33451960.8,99372001.2,144958496.8,40339129.2,9838812,35091762.8,96092397.2,145286457.2,39027287.6,12134534.8,31812158.8,102651605.2,144302576,41650970.8,7543089.2
서울,1400,1500,1500,1500,4800,10031,669,1206963,1238213,-31250,430159,461409,289551,240188,49363,163267,113904,272050,316308,-44258,97944,142202,383123,438716,-55593,66248,121841,91662,58387,33275,54640,21365,76262,75822,440,19452,19012,4246,13070,-8824,1156,9980,90069,95722,-5653,27452,33105,27767,58255,65994,29372,27767,9.92,"50,125",31.5,68.5,100,96.3,15.43,90.9,1.58,5.91,7.09,1559.62,1463.99,11.4,9384512,106983436.8,286227616,406349369.6,110737241.6,29091987.2,106983436.8,280596908.8,411980076.8,106983436.8,31907340.8,106983436.8,289981420.8,401657113.6,113552595.2,26276633.6
세종,0,0,1400,1500,3300,10031,1630,56050,54360,1690,34247,32557,14426,13783,643,12155,11512,13290,12128,1162,9409,8247,17818,17386,432,6650,6218,3206,3939,-733,2172,2905,3100,2724,376,1494,1118,449,592,-143,298,441,3761,3808,-47,2069,2116,23499,43174,47220,25995,23499,9.37,"50,097",100,0,99.9,96.6,16.73,6.3,1.57,6.46,8.63,1651.6,1579.44,15.9,386261,6141549.9,14446161.4,13557761.1,3592227.3,849774.2,6450558.7,13944022.1,13866769.9,3476349,849774.2,5871167.2,14909674.6,13248752.3,3746731.7,849774.2
