지역,각종요금_전철료(성인 카드),각종요금_전철료(성인 현금),각종요금_시내버스료(성인 카드),각종요금_시내버스료(성인 현금),각종요금_택시료(중형),각종요금_도매요금,각종요금_소매요금,시군구_이동자수_기준병합_계_총전입,시군구_이동자수_기준병합_계_총전출,시군구_이동자수_기준병합_계_순이동,시군구_이동자수_기준병합_계_시도간전입,시군구_이동자수_기준병합_계_시도간전출,시군구_이동자수_기준병합_직업_총전입,시군구_이동자수_기준병합_직업_총전출,시군구_이동자수_기준병합_직업_순이동,시군구_이동자수_기준병합_직업_시도간전입,시군구_이동자수_기준병합_직업_시도간전출,시군구_이동자수_기준병합_가족_총전입,시군구_이동자수_기준병합_가족_총전출,시군구_이동자수_기준병합_가족_순이동,시군구_이동자수_기준병합_가족_시도간전입,시군구_이동자수_기준병합_가족_시도간전출,시군구_이동자수_기준병합_주택_총전입,시군구_이동자수_기준병합_주택_총전출,시군구_이동자수_기준병합_주택_순이동,시군구_이동자수_기준병합_주택_시도간전입,시군구_이동자수_기준병합_주택_시도간전출,시군구_이동자수_기준병합_교육_총전입,시군구_이동자수_기준병합_교육_총전출,시군구_이동자수_기준병합_교육_순이동,시군구_이동자수_기준병합_교육_시도간전입,시군구_이동자수_기준병합_교육_시도간전출,시군구_이동자수_기준병합_주거환경_총전입,시군구_이동자수_기준병합_주거환경_총전출,시군구_이동자수_기준병합_주거환경_순이동,시군구_이동자수_기준병합_주거환경_시도간전입,시군구_이동자수_기준병합_주거환경_시도간전출,시군구_이동자수_기준병합_자연환경_총전입,시군구_이동자수_기준병합_자연환경_총전출,시군구_이동자수_기준병합_자연환경_순이동,시군구_이동자수_기준병합_자연환경_시도간전입,시군구_이동자수_기준병합_자연환경_시도간전출,시군구_이동자수_기준병합_기타_총전입,시군구_이동자수_기준병합_기타_총전출,시군구_이동자수_기준병합_기타_순이동,시군구_이동자수_기준병합_기타_시도간전입,시군구_이동자수_기준병합_기타_시도간전출,인당소비_민간소비지출액(천원),인당소득_1인당 지역내총생산,인당소득_1인당 지역총소득,인당소득_1인당 개인소득,인당소득_1인당 민간소비,대중교통_이용_환승_1주간대중교통이용횟수(회),대중교통_이용_환승_한달평균대중교통비용(원),대중교통_이용_환승_주이용교통수단_버스(%),대중교통_이용_환승_주이용교통수단_도시철도(%),대중교통_이용_환승_교통카드이용률(%),대중교통_이용_환승_정보제공서비스이용률(%),대중교통_이용_환승_접근소요시간(분),대중교통_이용_환승_환승서비스이용률(%),대중교통_이용_환승_환승횟수(회),대중교통_이용_환승_환승이동시간(분),대중교통_이용_환승_환승대기시간(분),프랜차이즈_합계_사업체수 (개),프랜차이즈_합계_종사자수 (명),프랜차이즈_합계_매출액 (백만원),프랜차이즈_합계_영업비용 (백만원),프랜차이즈_합계_매출원가 (백만원),프랜차이즈_합계_인건비 (백만원),프랜차이즈_합계_임차료 (백만원),프랜차이즈_합계_기타영업비용 (백만원),프랜차이즈_합계_연간급여액 (백만원),프랜차이즈_체인화 편의점_사업체수 (개),프랜차이즈_체인화 편의점_종사자수 (명),프랜차이즈_체인화 편의점_매출액 (백만원),프랜차이즈_체인화 편의점_영업비용 (백만원),프랜차이즈_체인화 편의점_매출원가 (백만원),프랜차이즈_체인화 편의점_인건비 (백만원),프랜차이즈_체인화 편의점_임차료 (백만원),프랜차이즈_체인화 편의점_기타영업비용 (백만원),프랜차이즈_체인화 편의점_연간급여액 (백만원),프랜차이즈_문구용품 및 회화용품 소매업_사업체수 (개),프랜차이즈_문구용품 및 회화용품 소매업_종사자수 (명),프랜차이즈_문구용품 및 회화용품 소매업_매출액 (백만원),프랜차이즈_문구용품 및 회화용품 소매업_영업비용 (백만원),프랜차이즈_문구용품 및 회화용품 소매업_매출원가 (백만원),프랜차이즈_문구용품 및 회화용품 소매업_인건비 (백만원),프랜차이즈_문구용품 및 회화용품 소매업_임차료 (백만원),프랜차이즈_문구용품 및 회화용품 소매업_기타영업비용 (백만원),프랜차이즈_문구용품 및 회화용품 소매업_연간급여액 (백만원),프랜차이즈_의약품 및 의료용품 소매업_사업체수 (개),프랜차이즈_의약품 및 의료용품 소매업_종사자수 (명),프랜차이즈_의약품 및 의료용품 소매업_매출액 (백만원),프랜차이즈_의약품 및 의료용품 소매업_영업비용 (백만원),프랜차이즈_의약품 및 의료용품 소매업_매출원가 (백만원),프랜차이즈_의약품 및 의료용품 소매업_인건비 (백만원),프랜차이즈_의약품 및 의료용품 소매업_임차료 (백만원),프랜차이즈_의약품 및 의료용품 소매업_기타영업비용 (백만원),프랜차이즈_의약품 및 의료용품 소매업_연간급여액 (백만원),프랜차이즈_안경 및 렌즈 소매업_사업체수 (개),프랜차이즈_안경 및 렌즈 소매업_종사자수 (명),프랜차이즈_안경 및 렌즈 소매업_매출액 (백만원),프랜차이즈_안경 및 렌즈 소매업_영업비용 (백만원),프랜차이즈_안경 및 렌즈 소매업_매출원가 (백만원),프랜차이즈_안경 및 렌즈 소매업_인건비 (백만원),프랜차이즈_안경 및 렌즈 소매업_임차료 (백만원),프랜차이즈_안경 및 렌즈 소매업_기타영업비용 (백만원),프랜차이즈_안경 및 렌즈 소매업_연간급여액 (백만원),프랜차이즈_한식 음식점업_사업체수 (개),프랜차이즈_한식 음식점업_종사자수 (명),프랜차이즈_한식 음식점업_매출액 (백만원),프랜차이즈_한식 음식점업_영업비용 (백만원),프랜차이즈_한식 음식점업_매출원가 (백만원),프랜차이즈_한식 음식점업_인건비 (백만원),프랜차이즈_한식 음식점업_임차료 (백만원),프랜차이즈_한식 음식점업_기타영업비용 (백만원),프랜차이즈_한식 음식점업_연간급여액 (백만원),프랜차이즈_외국식 음식점업_사업체수 (개),프랜차이즈_외국식 음식점업_종사자수 (명),프랜차이즈_외국식 음식점업_매출액 (백만원),프랜차이즈_외국식 음식점업_영업비용 (백만원),프랜차이즈_외국식 음식점업_매출원가 (백만원),프랜차이즈_외국식 음식점업_인건비 (백만원),프랜차이즈_외국식 음식점업_임차료 (백만원),프랜차이즈_외국식 음식점업_기타영업비용 (백만원),프랜차이즈_외국식 음식점업_연간급여액 (백만원),프랜차이즈_제과점업_사업체수 (개),프랜차이즈_제과점업_종사자수 (명),프랜차이즈_제과점업_매출액 (백만원),프랜차이즈_제과점업_영업비용 (백만원),프랜차이즈_제과점업_매출원가 (백만원),프랜차이즈_제과점업_인건비 (백만원),프랜차이즈_제과점업_임차료 (백만원),프랜차이즈_제과점업_기타영업비용 (백만원),프랜차이즈_제과점업_연간급여액 (백만원),프랜차이즈_피자 햄버거 샌드위치 및 유사 음식점업_사업체수 (개),프랜차이즈_피자 햄버거 샌드위치 및 유사 음식점업_종사자수 (명),프랜차이즈_피자 햄버거 샌드위치 및 유사 음식점업_매출액 (백만원),프랜차이즈_피자 햄버거 샌드위치 및 유사 음식점업_영업비용 (백만원),프랜차이즈_피자 햄버거 샌드위치 및 유사 음식점업_매출원가 (백만원),프랜차이즈_피자 햄버거 샌드위치 및 유사 음식점업_인건비 (백만원),프랜차이즈_피자 햄버거 샌드위치 및 유사 음식점업_임차료 (백만원),프랜차이즈_피자 햄버거 샌드위치 및 유사 음식점업_기타영업비용 (백만원),프랜차이즈_피자 햄버거 샌드위치 및 유사 음식점업_연간급여액 (백만원),프랜차이즈_치킨전문점_사업체수 (개),프랜차이즈_치킨전문점_종사자수 (명),프랜차이즈_치킨전문점_매출액 (백만원),프랜차이즈_치킨전문점_영업비용 (백만원),프랜차이즈_치킨전문점_매출원가 (백만원),프랜차이즈_치킨전문점_인건비 (백만원),프랜차이즈_치킨전문점_임차료 (백만원),프랜차이즈_치킨전문점_기타영업비용 (백만원),프랜차이즈_치킨전문점_연간급여액 (백만원),프랜차이즈_김밥 기타 간이음식점 및 포장 판매점_사업체수 (개),프랜차이즈_김밥 기타 간이음식점 및 포장 판매점_종사자수 (명),프랜차이즈_김밥 기타 간이음식점 및 포장 판매점_매출액 (백만원),프랜차이즈_김밥 기타 간이음식점 및 포장 판매점_영업비용 (백만원),프랜차이즈_김밥 기타 간이음식점 및 포장 판매점_매출원가 (백만원),프랜차이즈_김밥 기타 간이음식점 및 포장 판매점_인건비 (백만원),프랜차이즈_김밥 기타 간이음식점 및 포장 판매점_임차료 (백만원),프랜차이즈_김밥 기타 간이음식점 및 포장 판매점_기타영업비용 (백만원),프랜차이즈_김밥 기타 간이음식점 및 포장 판매점_연간급여액 (백만원),프랜차이즈_생맥주 및 기타 주점업_사업체수 (개),프랜차이즈_생맥주 및 기타 주점업_종사자수 (명),프랜차이즈_생맥주 및 기타 주점업_매출액 (백만원),프랜차이즈_생맥주 및 기타 주점업_영업비용 (백만원),프랜차이즈_생맥주 및 기타 주점업_매출원가 (백만원),프랜차이즈_생맥주 및 기타 주점업_인건비 (백만원),프랜차이즈_생맥주 및 기타 주점업_임차료 (백만원),프랜차이즈_생맥주 및 기타 주점업_기타영업비용 (백만원),프랜차이즈_생맥주 및 기타 주점업_연간급여액 (백만원),프랜차이즈_커피 및 기타 비알코올 음료점업_사업체수 (개),프랜차이즈_커피 및 기타 비알코올 음료점업_종사자수 (명),프랜차이즈_커피 및 기타 비알코올 음료점업_매출액 (백만원),프랜차이즈_커피 및 기타 비알코올 음료점업_영업비용 (백만원),프랜차이즈_커피 및 기타 비알코올 음료점업_매출원가 (백만원),프랜차이즈_커피 및 기타 비알코올 음료점업_인건비 (백만원),프랜차이즈_커피 및 기타 비알코올 음료점업_임차료 (백만원),프랜차이즈_커피 및 기타 비알코올 음료점업_기타영업비용 (백만원),프랜차이즈_커피 및 기타 비알코올 음료점업_연간급여액 (백만원),프랜차이즈_자동차 전문 수리업_사업체수 (개),프랜차이즈_자동차 전문 수리업_종사자수 (명),프랜차이즈_자동차 전문 수리업_매출액 (백만원),프랜차이즈_자동차 전문 수리업_영업비용 (백만원),프랜차이즈_자동차 전문 수리업_매출원가 (백만원),프랜차이즈_자동차 전문 수리업_인건비 (백만원),프랜차이즈_자동차 전문 수리업_임차료 (백만원),프랜차이즈_자동차 전문 수리업_기타영업비용 (백만원),프랜차이즈_자동차 전문 수리업_연간급여액 (백만원),프랜차이즈_두발 미용업_사업체수 (개),프랜차이즈_두발 미용업_종사자수 (명),프랜차이즈_두발 미용업_매출액 (백만원),프랜차이즈_두발 미용업_영업비용 (백만원),프랜차이즈_두발 미용업_매출원가 (백만원),프랜차이즈_두발 미용업_인건비 (백만원),프랜차이즈_두발 미용업_임차료 (백만원),프랜차이즈_두발 미용업_기타영업비용 (백만원),프랜차이즈_두발 미용업_연간급여액 (백만원),프랜차이즈_가정용 세탁업_사업체수 (개),프랜차이즈_가정용 세탁업_종사자수 (명),프랜차이즈_가정용 세탁업_매출액 (백만원),프랜차이즈_가정용 세탁업_영업비용 (백만원),프랜차이즈_가정용 세탁업_매출원가 (백만원),프랜차이즈_가정용 세탁업_인건비 (백만원),프랜차이즈_가정용 세탁업_임차료 (백만원),프랜차이즈_가정용 세탁업_기타영업비용 (백만원),프랜차이즈_가정용 세탁업_연간급여액 (백만원),프랜차이즈_기타 프랜차이즈_사업체수 (개),프랜차이즈_기타 프랜차이즈_종사자수 (명),프랜차이즈_기타 프랜차이즈_매출액 (백만원),프랜차이즈_기타 프랜차이즈_영업비용 (백만원),프랜차이즈_기타 프랜차이즈_매출원가 (백만원),프랜차이즈_기타 프랜차이즈_인건비 (백만원),프랜차이즈_기타 프랜차이즈_임차료 (백만원),프랜차이즈_기타 프랜차이즈_기타영업비용 (백만원),프랜차이즈_기타 프랜차이즈_연간급여액 (백만원),고급휘발유,보통휘발유,자동차용경유
강원도,0,0,1469,1661,3800,10031,1878,173366,174763,-1397,68757,70154,48848,51467,-2619,27426,30045,41867,42276,-409,17756,18165,50605,49319,1286,9556,8270,11712,11874,-162,6178,6340,7834,8132,-298,1844,2142,5046,2478,2568,3282,714,7454,9217,-1763,2715,4478,21277,40713,37509,23326,21277,9.25,"51,033",98.3,1.7,90.2,96.2,17.26,12.7,1.46,7.65,9.31,10339,31653,3384256,3131747,1975843,379291,135767,640846,348503,2363,7861,1097084,1086068,773390,91225,25389,196064,80407,90,175,31845,28693,22167,2232,971,3323,1751,142,428,213612,196110,174442,8295,3593,9781,7841,96,278,44264,38080,19920,6977,3568,7615,6634,1547,4669,404699,361845,180512,54839,20062,106432,50766,476,1811,153400,137802,70653,28429,8580,30140,26081,295,1150,110863,102728,64241,12219,6090,20179,10360,668,1940,183505,163429,84904,21037,9568,47919,19210,1265,2720,271785,246076,158472,16551,11452,59601,16543,684,1817,140718,125840,70218,20049,6571,29003,18645,437,1063,80730,69382,37654,10810,5702,15215,9389,868,3533,185378,161870,67863,36849,16712,40446,34119,244,1158,156799,137170,69883,37727,2881,26679,35249,54,228,13122,11213,2621,2668,1037,4887,2267,86,149,8945,7954,2540,665,647,4101,558,1024,2673,287507,257488,176364,28719,12945,39460,28684,1882.961324,1588.217353,1503.163456
경기도,0,0,1450,1500,4800,10031,831,1681183,1636571,44612,542110,497498,358552,353218,5334,169709,164375,404959,385585,19374,148997,129623,623309,595824,27485,127756,100271,71786,83701,-11915,29102,41017,82974,82136,838,21408,20570,15750,16869,-1119,6685,7804,123853,119238,4615,38453,33838,22878,43070,47899,25696,22878,9.67,"51,317",62,38,99.1,96.3,16.2,90.4,1.5,6.6,8.36,80658,280474,30247947,28078772,16113069,4140120,1921159,5904423,3919691,15134,60802,7790184,7708987,5500016,746202,278610,1184160,714708,707,1366,227978,207313,144496,18471,13575,30771,16073,1236,4137,1690850,1529605,1262843,112562,46176,108024,106190,1036,2469,406885,362444,188633,63182,42735,67894,57852,13507,45152,4871320,4381199,2099184,761420,350342,1170253,716783,4629,17370,1735333,1555541,713886,336443,130313,374899,316360,2439,11289,1025627,959754,581824,125891,78257,173784,116299,4599,18487,1595751,1438680,684301,229465,116787,408128,216822,7217,16982,2176388,2035622,1190286,181142,124258,539937,180805,5775,17184,1507827,1396204,669812,201353,108368,416672,180674,2863,9239,837777,758919,345246,145345,91368,176960,134714,8126,33251,1707801,1570254,582973,399475,220766,367040,367367,1452,7255,1086892,959584,437474,295826,43394,182890,287639,1462,6471,443657,411650,71060,97584,63495,179511,83234,1427,1993,153128,133752,34207,12620,14332,72593,11329,9049,27027,2990549,2669263,1606830,413140,198384,450909,412841,1849.7,1601.12,1523.37
경상남도,0,0,1219,1286,4706,10031,1631,300309,316609,-16300,103910,120210,74572,89879,-15307,35924,51231,80594,73225,7369,33138,25769,89331,88360,971,16374,15403,16983,27156,-10173,5962,16135,13025,14163,-1138,2805,3943,6483,4420,2063,3185,1122,19321,19406,-85,6522,6607,21756,42144,38879,22769,21756,9.35,"50,634",94.5,5.5,92.5,95.9,17.13,14.1,1.48,7.3,8.47,20210,58612,6122760,5611979,3380012,699258,288576,1244133,649429,3420,11577,1589834,1581639,1110998,133005,44804,292832,125127,153,420,78052,70155,53181,6171,2366,8437,5188,252,807,348683,311252,259514,21283,8458,21997,20440,250,551,79430,70669,36461,11138,7155,15914,9187,3567,10600,991965,894540,450262,129631,56709,257939,117354,890,3129,289162,258579,134632,48141,16877,58928,44295,554,2048,192664,179461,109438,21907,9441,38676,19299,1219,3907,312628,271609,141315,40564,16857,72873,38862,2598,5088,520280,468228,290695,31727,21033,124774,31651,1448,3743,282320,252630,130028,34536,17639,70427,28871,901,2137,157243,140598,70554,20905,11162,37977,18187,2189,7111,366828,318445,130059,65495,41893,80999,61170,395,1728,256151,220010,113497,56859,4929,44725,53779,152,592,31762,28086,5864,6843,3384,11996,5380,279,385,28498,23918,9462,2001,2356,10099,1627,1943,4789,597260,522160,334052,69054,23515,95540,69013,1855.86,1580.7,1494.61
경상북도,0,0,1297,1382,4000,10031,1416,254287,262492,-8205,107068,115273,69363,73998,-4635,39033,43668,63223,64188,-965,28859,29824,63990,67918,-3928,13132,17060,18948,20902,-1954,10275,12229,10785,12266,-1481,2714,4195,6746,3713,3033,4099,1066,21232,19507,1725,8956,7231,21078,48812,41091,22921,21078,9.38,"51,246",97.5,2.5,88.5,95.1,17.26,14.8,1.48,7.56,8.96,14742,41693,4534611,4133590,2563887,496135,185080,888488,459867,2707,8781,1297251,1280556,915389,106599,31372,227197,98398,108,215,42314,38224,29610,2647,1607,4361,1882,165,503,214016,187738,157253,10084,4290,16111,9501,151,355,52645,44790,25351,7546,4197,7696,6995,2523,7330,716278,634528,338214,84403,31616,180295,77693,651,2173,186530,162647,83480,34500,9966,34701,32612,464,1594,168992,156360,95859,19969,7011,33522,18396,843,2727,237227,206458,104230,28188,11251,62789,27087,1866,3555,363899,322231,215250,11765,11798,83418,11731,1130,2797,210887,186781,102725,24027,12911,47118,20637,646,1410,103759,89933,48407,12138,8065,21322,11154,1414,4658,259368,224350,92113,52761,25071,54406,46495,339,1502,203354,175249,81015,52418,5421,36395,48628,71,249,15258,13435,2467,3128,1271,6568,2767,232,308,17044,14892,7208,436,1481,5768,427,1432,3536,445789,395415,265314,45526,17752,66822,45464,1859.08,1567.2,1477.86
광주,1250,1400,1250,1400,4300,10031,575,162916,171933,-9017,53486,62503,32478,40977,-8499,16855,25354,45349,44095,1254,17332,16078,51595,51718,-123,7499,7622,10611,11428,-817,5346,6163,9165,8716,449,2060,1611,1141,2335,-1194,395,1589,12577,12664,-87,3999,4086,23096,35452,38019,25378,23096,9.65,"50,508",81.9,18.1,98.9,96.8,16.45,79.1,1.46,6.14,6.32,8966,29752,3051610,2818714,1667582,371710,170093,609329,346473,1371,4912,638518,627320,442250,57295,20929,106846,50066,51,137,21390,19277,13647,2019,1085,2526,1790,192,616,257772,231816,195669,15586,5914,14648,14657,152,352,49546,44509,24490,5698,4942,9379,5372,1327,4540,436638,400130,208389,60081,25553,106107,55262,484,2092,196350,176575,90248,31775,9985,44567,30894,258,1085,95932,89942,54628,13253,7465,14595,12650,595,2289,193708,179243,90261,25198,13949,49835,23742,880,1936,237509,222550,136703,12657,8011,65179,12636,664,1831,150745,139349,73046,19429,7969,38904,17370,467,1337,110505,100569,51968,17312,9317,21972,15834,1118,4900,233855,212194,85607,45587,29276,51723,41286,178,604,82887,71332,34885,17596,2784,16067,17042,141,400,22572,20722,3515,5592,2660,8956,5314,160,206,13983,12084,2317,315,1024,8427,241,928,2515,309700,271103,159958,42317,19230,49598,42317,1827.96,1561.22,1474.73
대구,1250,1400,1250,1400,4000,10031,1293,296291,301579,-5288,83536,88824,52847,64440,-11593,26764,38357,69766,65286,4480,25259,20779,118899,114629,4270,14459,10189,15114,16409,-1295,7520,8815,17054,16023,1031,3343,2312,2137,3847,-1710,540,2250,20474,20945,-471,5651,6122,22307,30985,34344,23760,22307,9.96,"49,998",55.9,44.1,99.6,95.4,15.74,84.8,1.5,6.24,6.58,13356,43425,4323284,3993963,2288121,559872,271635,874335,524504,2146,7876,992152,1001466,691662,97232,41397,171175,94893,52,82,14918,13476,10076,951,705,1744,686,215,570,248052,225515,190665,14703,5451,14696,13913,211,468,72521,64284,36424,9696,7745,10419,8739,2239,8030,782347,698958,333849,120224,52954,191930,110906,602,2294,205178,182047,87190,38117,13492,43248,34309,449,1804,158663,148823,86542,19221,13240,29820,18517,787,3162,256786,234218,121924,34336,14694,63264,32962,1318,2807,328977,297165,186057,17040,12925,81144,17023,1136,3245,231892,206141,105894,29620,14888,55739,24727,491,1540,122546,108225,53794,18286,10233,25912,15919,1624,6011,306156,272936,98929,67889,40662,65456,61745,290,1131,152771,134148,66460,35014,3850,28824,33539,146,472,23760,20771,4676,6108,3062,6925,5438,211,310,17353,15567,2947,1446,1408,9765,1265,1439,3623,409212,370223,211033,49988,34929,74273,49922,1792.61,1562.18,1476.68
대전,1250,1400,1250,1400,4300,10031,719,186084,188558,-2474,73374,75848,46776,47259,-483,29588,30071,43247,45138,-1891,18051,19942,57918,60955,-3037,8494,11531,15015,11430,3585,10284,6699,9761,9510,251,2395,2144,1170,1987,-817,396,1213,12197,12279,-82,4166,4248,23355,36645,40976,26493,23355,9.57,"50,940",76.9,23.1,99.6,96.5,16.27,81.8,1.48,6.16,6.36,8882,31188,3012992,2786123,1628491,387685,162223,607724,353993,1494,6391,703351,706683,497900,69405,18370,121008,57156,56,109,16024,14541,10490,1243,701,2107,866,116,366,141480,126494,105220,7699,4208,9368,6755,127,304,45638,40025,21077,6057,4837,8054,5536,1474,5434,522963,469940,239888,80755,33607,115689,75495,517,2053,191489,168293,88002,33884,10029,36378,32114,285,1158,101525,94503,55942,14146,5573,18842,12817,597,2433,211659,192557,94013,30051,11424,57069,29195,905,2121,240916,216471,140820,15382,9079,51190,15349,704,2005,156964,141340,74081,19151,9625,38482,14994,397,1250,104094,95141,50329,16343,8168,20301,15299,898,4085,191970,174540,66820,41063,23177,43480,37168,161,557,77741,66082,29790,18289,1253,16749,17607,130,469,27737,25312,5224,3827,3109,13152,3589,106,157,12303,10237,1454,521,1008,7254,210,915,2296,267138,243966,147442,29870,18055,48600,29840,1850.78,1531.7,1447.63
부산,1450,1550,1550,1700,4800,10031,1198,364271,375703,-11432,102217,113649,77871,87810,-9939,36763,46702,89419,91843,-2424,27557,29981,127047,129002,-1955,14197,16152,23151,19365,3786,13040,9254,21387,20406,981,3865,2884,2752,4027,-1275,899,2174,22644,23250,-606,5896,6502,23042,34762,35373,24026,23042,9.72,"50,079",55.1,44.9,99.7,95.5,15.83,86.4,1.51,6.14,6.85,19109,65978,6381234,5933034,3433902,842939,394180,1262012,794655,2967,12180,1517134,1514695,1054844,149990,52137,257725,143468,138,265,36686,33399,23873,3143,2117,4267,2715,305,1006,459312,420887,356870,27391,13439,23187,25585,275,698,104749,92580,49579,14723,10374,17904,12517,3186,11790,1109511,992808,514071,169536,73655,235547,161283,1018,4161,367220,333706,163467,64652,23753,81834,60906,487,2405,192299,185726,111565,22242,14339,37580,20718,1163,4331,350376,314923,158314,44240,22908,89462,42381,2058,4594,526446,485290,277676,35363,24254,147997,35317,1278,3839,292163,270405,134349,46791,18862,70403,41253,699,2306,175472,156045,74490,29713,15724,36119,27801,2610,10256,462275,426056,164780,97939,63297,100041,87491,321,1307,184099,162810,80399,43591,4417,34403,42000,271,1366,75655,70689,12931,20496,10393,26869,18239,368,510,33971,29561,9608,901,3123,15928,851,1965,4964,493866,443451,247087,72229,41389,82747,72129,1848.71,1553.17,1483.67
서울,1400,1500,1500,1500,4800,10031,669,1206963,1238213,-31250,430159,461409,289551,240188,49363,163267,113904,272050,316308,-44258,97944,142202,383123,438716,-55593,66248,121841,91662,58387,33275,54640,21365,76262,75822,440,19452,19012,4246,13070,-8824,1156,9980,90069,95722,-5653,27452,33105,27767,58255,65994,29372,27767,9.92,"50,125",31.5,68.5,100,96.3,15.43,90.9,1.58,5.91,7.09,50533,195247,22039774,20499372,11248507,3126336,1610046,4514483,2926520,8935,39315,5235090,5194786,3561692,522074,152984,958035,459665,459,915,146986,137072,94591,14198,10997,17286,11826,1233,3370,1452710,1334186,1117538,78095,51387,87167,75242,713,1712,313929,283074,156675,39474,38708,48217,35311,7885,30299,3607526,3261937,1509189,593933,303227,855588,570628,3210,13553,1433052,1298682,568493,287487,113247,329454,272984,1643,8319,809387,776529,441898,91755,77475,165402,86047,3021,13308,1202348,1100366,499892,192609,99148,308716,186421,3878,10149,1549273,1415944,789923,147057,105450,373514,146753,3470,11614,1160958,1069547,502747,191423,90870,284507,174760,1661,6093,636787,572300,263610,100892,73752,134046,95545,5896,26424,1476142,1341290,509869,327313,219997,284111,303259,637,2801,437787,399970,185660,110747,23428,80135,104206,1405,8144,603505,548566,88458,154340,70086,235681,129986,957,1208,96551,84842,17480,5166,9611,52585,4127,5530,18023,1877743,1680280,940791,269773,169678,300038,269759,1831.81,1559.62,1463.99
세종,0,0,1400,1500,3300,10031,1630,56050,54360,1690,34247,32557,14426,13783,643,12155,11512,13290,12128,1162,9409,8247,17818,17386,432,6650,6218,3206,3939,-733,2172,2905,3100,2724,376,1494,1118,449,592,-143,298,441,3761,3808,-47,2069,2116,23499,43174,47220,25995,23499,9.37,"50,097",100,0,99.9,96.6,16.73,6.3,1.57,6.46,8.63,2351,7748,782540,721691,406841,101746,49598,163506,93986,338,1292,155566,156117,111867,12003,5491,26755,11661,32,57,10621,9786,7394,760,770,863,616,33,92,47245,41811,32391,2622,1875,4923,2477,32,90,13239,11908,6415,2036,1219,2238,1479,436,1421,134980,121780,57919,19996,10052,33813,18010,175,658,65161,59099,29125,11644,4181,14148,10507,76,315,28172,27015,15303,3456,2425,5830,3243,154,586,51973,45371,23664,6396,3719,11593,5998,202,489,58958,55157,31252,6117,2997,14791,6117,173,555,36737,33903,17302,6061,2717,7822,5181,66,199,16872,13711,7002,2828,1575,2305,2642,240,946,47368,43887,16510,9770,5170,12437,9092,24,118,19800,17571,7835,5365,474,3897,5041,33,182,11967,10280,1730,2480,1199,4871,1762,47,60,4554,3999,934,126,343,2596,75,290,688,79327,70298,40198,10084,5392,14624,10084,1946.51,1651.6,1579.44
